date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:07	83784/83784	---M--	200	added ('OK')	image/png	etag:%2214748-624c38e4e9040%22	https://supernao.zorn.it/images/Foto-gruppo/Marco_Zorn_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Marco_Zorn_V.png	(from https://supernao.zorn.it/)
21:11:10	628968/628968	---M--	200	added ('OK')	image/png	etag:%22998e8-624c3f8673540%22	https://supernao.zorn.it/images/Foto-gruppo/Virginia_D_Andrea_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Virginia_D_Andrea_V.png	(from https://supernao.zorn.it/)
21:11:10	1642910/1642910	---M--	200	added ('OK')	image/png	etag:%2219119e-6365d49164f61%22	https://supernao.zorn.it/templates/yootheme/cache/5f/pic%201-5f8b5427.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/templates/yootheme/cache/5f/pic%201-5f8b5427.png	(from https://supernao.zorn.it/)
21:11:10	536519/536519	---M--	200	added ('OK')	image/png	etag:%2282fc7-624c399a1bbc0%22	https://supernao.zorn.it/images/Foto-gruppo/foto-nao.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/foto-nao.png	(from https://supernao.zorn.it/)
21:11:12	68452/68452	---M--	200	added ('OK')	image/png	etag:%2210b64-62d675bd79380%22	https://supernao.zorn.it/images/logo-nuvolari.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/logo-nuvolari.png	(from https://supernao.zorn.it/)
21:11:12	567562/567562	---M--	200	added ('OK')	image/png	etag:%228a90a-62d671ba5dc40%22	https://supernao.zorn.it/images/Foto-gruppo/SuperNAO_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/SuperNAO_V.png	(from https://supernao.zorn.it/)
21:11:13	1444552/1444552	---M--	200	added ('OK')	image/png	etag:%22160ac8-62d6717984340%22	https://supernao.zorn.it/images/Foto-gruppo/Leonardo_Vellella_V.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/Foto-gruppo/Leonardo_Vellella_V.png	(from https://supernao.zorn.it/)
21:11:13	5191/5191	---M--	200	added ('OK')	image/png	etag:%221447-62d675bd79380%22	https://supernao.zorn.it/images/logo-fairtile.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/logo-fairtile.png	(from https://supernao.zorn.it/)
21:11:13	102397/102397	---M--	200	added ('OK')	image/png	etag:%2218ffd-624714b178180%22	https://supernao.zorn.it/images/logo-sapienza.png	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/logo-sapienza.png	(from https://supernao.zorn.it/)
21:11:14	19982/19982	---M--	200	added ('OK')	text/html	etag:%224e0e-62471565b6ac0%22	https://supernao.zorn.it/images/logo-tommaso-salvini.webp	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/images/logo-tommaso-salvini.html	(from https://supernao.zorn.it/)
21:11:15	25472/25472	---M--	200	added ('OK')	text/html	etag:%226380-63586fb673a00%22	https://supernao.zorn.it/media/vendor/fontawesome-free/webfonts/fa-regular-400.woff2?v=896727	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/media/vendor/fontawesome-free/webfonts/fa-regular-400f499.html	(from https://supernao.zorn.it/media/system/css/joomla-fontawesome.min.css?ver=4.4.9)
21:11:17	68064/68064	---M--	200	added ('OK')	application/font-sfnt	etag:%22109e0-63586fb673a00%22	https://supernao.zorn.it/media/vendor/fontawesome-free/webfonts/fa-regular-400.ttf?v=262525	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/media/vendor/fontawesome-free/webfonts/fa-regular-4007c4b.ttf	(from https://supernao.zorn.it/media/system/css/joomla-fontawesome.min.css?ver=4.4.9)
21:11:18	158220/158220	---M--	200	added ('OK')	text/html	etag:%2226a0c-63586fb673a00%22	https://supernao.zorn.it/media/vendor/fontawesome-free/webfonts/fa-solid-900.woff2?v=4a6591	/home/marco/supernao-statico_1-06_h21/supernao.zorn.it/media/vendor/fontawesome-free/webfonts/fa-solid-90035a9.html	(from https://supernao.zorn.it/media/system/css/joomla-fontawesome.min.css?ver=4.4.9)
